#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 03 21 02 50 294  0.2  0.9  0.02 99.00  9.89 999 1022.5   1.7   1.2 999.0 99.0 99.00
2016 03 21 03 50 319  1.0  1.7  0.01 99.00  8.30 999 1022.5   2.0   1.0 999.0 99.0 99.00
2016 03 21 04 50 321  1.1  2.1  0.01 99.00  8.00 999 1022.0   2.2   1.0 999.0 99.0 99.00
2016 03 21 05 50 327  0.3  1.1  0.02 99.00  9.11 999 1021.7   2.1   0.9 999.0 99.0 99.00
2016 03 21 06 50 173  0.7  1.5  0.01 99.00  7.58 999 1021.3   0.2   0.6 999.0 99.0 99.00
2016 03 21 07 50 206  2.1  2.6  0.01 99.00  8.70 999 1021.3  -0.4   0.4 999.0 99.0 99.00
2016 03 21 08 50 224  0.4  1.0  0.01 99.00  7.85 999 1020.9  -0.5   0.1 999.0 99.0 99.00
2016 03 21 09 50 190  0.3  0.8 99.00 99.00 99.00 999 1020.7  -0.1   0.0 999.0 99.0 99.00
2016 03 21 10 50 166  0.3  1.0 99.00 99.00 99.00 999 1020.5  -0.5  -0.1 999.0 99.0 99.00
2016 03 21 11 50 207  0.5  0.9 99.00 99.00 99.00 999 1020.3  -0.4  -0.1 999.0 99.0 99.00
2016 03 21 12 50 210  0.3  0.9  0.01 99.00  8.13 999 1020.3  -1.2  -0.2 999.0 99.0 99.00
2016 03 21 13 50 188  0.1  0.5  0.01 99.00  8.62 999 1020.0   0.1  -0.1 999.0 99.0 99.00
2016 03 21 14 50  47  0.4  1.0  0.01 99.00  7.65 999 1019.6   2.2   0.3 999.0 99.0 99.00
2016 03 21 15 50  73  1.0  1.8  0.01 99.00  8.39 999 1019.4   2.3   1.0 999.0 99.0 99.00
2016 03 21 16 50  41  1.4  2.2  0.01 99.00  6.78 999 1018.8   2.0   1.7 999.0 99.0 99.00
2016 03 21 17 50  41  1.8  3.3 99.00 99.00 99.00 999 1018.2   2.1   2.0 999.0 99.0 99.00
